latitude,longitude,geometry,tourism,name,city,,,,,,,,,,,,,,,,,,,,,,,,,,
31.1325707,-7.9190318,Point,hotel,Kasbah Toubkal,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.135629,-7.9186426,Point,hotel,Dar Imlil,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6627056,-7.8925612,Point,hotel,Club Marmara,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.3135922,-7.7469259,Point,hotel,Hotel Le Maquis,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.3413197,-7.7522973,Point,hotel,Jardin de Timalizene,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6299203,-8.0181373,Point,hotel,Ibis Moussafir Marrakech,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.630574,-7.9961264,Point,hotel,La Maison Arabe,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.2292635,-7.6692544,Point,hotel,Sitti Fadma,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6219848,-7.9884598,Point,hotel,ZWIN ZWIN CAFÉ,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6225463,-7.9895331,Point,hotel,Grand Hotel Tazi,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6311229,-8.0061767,Point,hotel,Hasna,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.62377,-8.0076129,Point,hotel,Golden Tulip,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6307737,-8.0112248,Point,hotel,Harti,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.4801818,-7.4331474,Point,hotel,Auberge Toufliht,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.2286305,-7.6703702,Point,hotel,Hotel Asgaour,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6241004,-7.9877598,Point,hotel,Hotel Medina,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6356848,-8.017124,Point,hotel,Amalou Hotel,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6360136,-8.0147831,Point,hotel,Hotel Renaissance,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6360722,-7.9938514,Point,hotel,Riad Asrari,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6194902,-8.008551,Point,hotel,Le Méridien N'Fis,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6232324,-7.9860498,Point,hotel,centre aable,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6242071,-7.9882893,Point,hotel,Imouzane,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6369825,-8.0103572,Point,hotel,Moroccan House,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6257236,-7.9986457,Point,hotel,Royal Mansour,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6234221,-7.9845761,Point,hotel,Angsana Riad Dar Zaouia,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6389933,-8.0169207,Point,hotel,Al Bahja,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.636713,-8.0161353,Point,hotel,Amalay,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6380034,-8.0176181,Point,hotel,Mont Gueliz,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6253394,-7.988171,Point,hotel,CTM,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6374799,-8.0132035,Point,hotel,Chama,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6368486,-8.0144661,Point,hotel,Diwane,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6390946,-8.017546,Point,hotel,El Hazara,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6233331,-7.988536,Point,hotel,Gallia,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6327207,-8.0140606,Point,hotel,Imphollida,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.1316185,-7.1314875,Point,hotel,Les Grotte,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6379498,-8.0127699,Point,hotel,Les Palmiers,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6219326,-7.9977054,Point,hotel,Mamounia,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6376971,-8.0170914,Point,hotel,Oasis,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.6359191,-8.0159078,Point,hotel,Oudaya,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
31.635879,-8.010941,Point,hotel,Pacha,Marrakech,,,,,,,,,,,,,,,,,,,,,,,,,,
