latitude,longitude,geometry,name,tourism,city
35.7591065,-5.9387313,Point,Le Mirage,hotel,Tanger
35.7779473,-5.8476977,Point,Hotel Andalucia Golf Tanger,hotel,Tanger
35.7767561,-5.7973131,Point,Huza Solazur,hotel,Tanger
35.7798047,-5.8085921,Point,Rembrandt,hotel,Tanger
35.7818736,-5.8124092,Point,Hotel Minza,hotel,Tanger
35.7727956,-5.8158208,Point,Hotel Etoile du Nord,hotel,Tanger
35.7737365,-5.7791629,Point,Ramada Encore Hotel,hotel,Tanger
35.778715,-5.812096,Point,Atlas Hotel,hotel,Tanger
35.7817169,-5.8076723,Point,Hotel L'marsa,hotel,Tanger
35.7814362,-5.8144808,Point,Pension Hollanda,hotel,Tanger
35.7803844,-5.8145883,Point,Pension Safari,hotel,Tanger
35.7825641,-5.8094375,Point,Hotel Royal,hotel,Tanger
35.7856777,-5.8102185,Point,Maram,hotel,Tanger
35.7804828,-5.8058373,Point,El Djenina,hotel,Tanger
35.7889977,-5.8136671,Point,Tangerina,hotel,Tanger
35.7809993,-5.8063425,Point,Marco Polo,hotel,Tanger
35.7860216,-5.8115705,Point,Dar Nakhla Naciria,hotel,Tanger
35.777514,-5.7996655,Point,Atlas Almohades Tanger City Center,hotel,Tanger
35.7853591,-5.8097062,Point,Hotel Mamora Tanger,hotel,Tanger
35.7860966,-5.8104283,Point,Hotel mauritania center tanger,hotel,Tanger
35.781562,-5.8414366,Point,carrefour tanger,hotel,Tanger
35.781027,-5.8076782,Point,Hotel Magellan,hotel,Tanger
35.786641,-5.812604,Point,Dar Medina Tanger,hotel,Tanger
35.7890074,-5.8136072,Point,La Tangerina,hotel,Tanger
35.7853659,-5.8093364,Point,Hôtel Olid,hotel,Tanger
35.7600779,-5.8003341,Point,Miramonte swimming pool,hotel,Tanger
35.788976,-5.8134831,Point,Hotel Nord-Pinus Tanger,hotel,Tanger
35.7844235,-5.7634487,Point,Mövenpick Hotel & Casino Malabata,hotel,Tanger
35.8264381,-5.6602849,Point,Hotel Tarifa,hotel,Tanger
35.8264381,-5.6602849,Point,Hotel,hotel,Tanger
35.6673322,-5.9657735,Point,Resort & Spa Hilton Tanger Al Houara,hotel,Tanger
35.787509,-5.8092685,Point,Hôtel Continental,hotel,Tanger
